Account_No,Withdrawal_amount,Deposit_amount,Balance_amount,Value_date,Data,transaction_details
40906174,473581,0,-6672307,2016-03-20,2016-03-20,Utilities
40906174,13220,0,-6685527,2016-03-21,2016-03-21,Clothes
40906174,0,17353,-6668174,2016-03-21,2016-03-21,
40906174,0,925367,-5742807,2016-03-22,2016-03-22,
40906174,647276,0,-6390083,2016-03-22,2016-03-22,Clothes
40906174,0,439788,-5950295,2016-03-23,2016-03-23,
40906174,530726,0,-6481021,2016-03-23,2016-03-23,Utilities
40906174,18185,0,-6499206,2016-03-23,2016-03-23,Bill Sharing
40906174,0,507920,-5991286,2016-03-24,2016-03-24,
40906174,15222,0,-6006508,2016-03-25,2016-03-25,Education
40906174,10285,0,-6016793,2016-03-26,2016-03-26,Education
40906174,0,11886,-6004907,2016-03-27,2016-03-27,
40906174,0,727913,-5276994,2016-03-27,2016-03-27,
40906174,12977,0,-5289971,2016-03-27,2016-03-27,Clothes
40906174,931006,0,-6220977,2016-03-28,2016-03-28,Transportation
40906174,0,15534,-6205443,2016-03-29,2016-03-29,
40906174,975021,0,-7180464,2016-03-29,2016-03-29,Groceries
40906174,10353,0,-7190817,2016-03-30,2016-03-30,Entertainment
40906174,754158,0,-7944975,2016-03-31,2016-03-31,Bill Sharing
40906174,13746,0,-7958721,2016-04-01,2016-04-01,Bill Sharing
40906174,0,12372,-7946349,2016-04-01,2016-04-01,
40906174,0,10380,-7935969,2016-04-01,2016-04-01,
40906174,11083,0,-7947052,2016-04-02,2016-04-02,Bill Sharing
40906174,0,798761,-7148291,2016-04-02,2016-04-02,
40906174,0,614663,-6533628,2016-04-02,2016-04-02,
40906174,0,19333,-6514295,2016-04-03,2016-04-03,
40906174,0,401436,-5835539,2016-04-04,2016-04-04,
40906174,10049,0,-5845588,2016-04-04,2016-04-04,Clothes
40906174,0,988673,-4856915,2016-04-04,2016-04-04,
40906174,0,13088,-4843827,2016-04-05,2016-04-05,
40906174,487242,0,-5331069,2016-04-05,2016-04-05,Bill Sharing
40906174,16160,0,-5347229,2016-04-06,2016-04-06,Bill Sharing
40906174,14530,0,-5361759,2016-04-06,2016-04-06,Clothes
40906174,18923,0,-5380682,2016-04-07,2016-04-07,Education
40906174,0,952950,-4427732,2016-04-07,2016-04-07,
40906174,0,13047,-4414685,2016-04-08,2016-04-08,
40906174,0,475168,-3939517,2016-04-09,2016-04-09,
40906174,0,707918,-3231599,2016-04-09,2016-04-09,
40906174,416609,0,-3648208,2016-04-10,2016-04-10,Rent
40906174,0,660742,-2987466,2016-04-11,2016-04-11,
40906174,0,755149,-2232317,2016-04-12,2016-04-12,
40906174,0,926881,-1305436,2016-04-13,2016-04-13,
40906174,0,19339,-1286097,2016-04-14,2016-04-14,
40906174,0,13441,-1272656,2016-04-15,2016-04-15,
40906174,483596,0,-1756252,2016-04-15,2016-04-15,Entertainment
40906174,0,17449,-1738803,2016-04-15,2016-04-15,
40906174,761944,0,-2500747,2016-04-16,2016-04-16,Bill Sharing
40906174,832688,0,-3333435,2016-04-16,2016-04-16,Healthcare
40906174,0,16479,-3316956,2016-04-16,2016-04-16,
40906174,465527,0,-3825735,2016-04-17,2016-04-17,Healthcare
40906174,0,816975,-3008760,2016-04-17,2016-04-17,
40906174,0,717273,-2291487,2016-04-17,2016-04-17,
40906174,0,537115,-1754372,2016-04-18,2016-04-18,
40906174,18545,0,-1772917,2016-04-19,2016-04-19,Education
40906174,13691,0,-1786608,2016-04-19,2016-04-19,Rent
40906174,0,508951,-1277657,2016-04-19,2016-04-19,
40906174,17557,0,-1295214,2016-04-20,2016-04-20,Transportation
40906174,0,12219,-1282995,2016-04-21,2016-04-21,
40906174,908861,0,-2191856,2016-04-21,2016-04-21,Education
40906174,0,737350,-1454506,2016-04-21,2016-04-21,
40906174,0,17713,-1436793,2016-04-22,2016-04-22,
40906174,0,493240,-943553,2016-04-22,2016-04-22,
40906174,0,677213,-930036,2016-04-23,2016-04-23,
40906174,0,678005,-252031,2016-04-23,2016-04-23,
40906174,708374,0,-960405,2016-04-23,2016-04-23,Entertainment
40906174,17443,0,-977848,2016-04-24,2016-04-24,Rent
40906174,15591,0,-993439,2016-04-24,2016-04-24,Education
40906174,0,12099,-981340,2016-04-24,2016-04-24,
40906174,12417,0,-993757,2016-04-25,2016-04-25,Bill Sharing
40906174,0,476830,-516927,2016-04-25,2016-04-25,
40906174,16161,0,-533088,2016-04-26,2016-04-26,Education
40906174,529798,0,-1062886,2016-04-26,2016-04-26,Transportation
40906174,547761,0,-1610647,2016-04-26,2016-04-26,Bill Sharing
40906174,0,15590,-1595057,2016-04-27,2016-04-27,
40906174,723702,0,-2318759,2016-04-27,2016-04-27,Entertainment
40906174,0,625750,-1693009,2016-04-27,2016-04-27,
40906174,0,12595,-1680414,2016-04-28,2016-04-28,
40906174,0,18664,-1661750,2016-04-29,2016-04-29,
40906174,0,17981,-1643769,2016-04-30,2016-04-30,
40906174,0,441150,-1202619,2016-04-30,2016-04-30,
40906174,0,452826,-749793,2016-05-01,2016-05-01,
40906174,558533,0,-1308326,2016-05-01,2016-05-01,Healthcare
40906174,0,557800,-750526,2016-05-01,2016-05-01,
40906174,850704,0,-1601230,2016-05-02,2016-05-02,Healthcare
40906174,0,17072,-1584158,2016-05-03,2016-05-03,
40906174,18136,0,-1602294,2016-05-03,2016-05-03,Education
40906174,0,694474,-907820,2016-05-03,2016-05-03,
40906174,0,10195,-897625,2016-05-04,2016-05-04,
40906174,817419,0,-1715044,2016-05-05,2016-05-05,Utilities
40906174,0,10272,-1704772,2016-05-05,2016-05-05,
40906174,0,14430,-1690342,2016-05-06,2016-05-06,
40906174,0,11349,-1678993,2016-05-07,2016-05-07,
40906174,0,468791,-1210202,2016-05-07,2016-05-07,
40906174,890726,0,-2100928,2016-05-07,2016-05-07,Entertainment
40906174,0,761120,-1339808,2016-05-08,2016-05-08,
40906174,479402,0,-2056373,2016-05-08,2016-05-08,Education
40906174,11252,0,-2067625,2016-05-09,2016-05-09,Groceries
40906174,0,914201,-1153424,2016-05-09,2016-05-09,
40906174,0,735604,-417820,2016-05-10,2016-05-10,
40906174,0,547520,129700,2016-05-10,2016-05-10,
40906174,0,475989,605689,2016-05-10,2016-05-10,
40906174,726628,0,-120939,2016-05-11,2016-05-11,Groceries
40906174,0,19329,-101610,2016-05-12,2016-05-12,
40906174,0,960133,858523,2016-05-13,2016-05-13,
40906174,0,651273,1509796,2016-05-13,2016-05-13,
40906174,0,457073,1966869,2016-05-14,2016-05-14,
40906174,543901,0,1422968,2016-05-14,2016-05-14,Utilities
40906174,11047,0,1411921,2016-05-14,2016-05-14,Rent
40906174,0,15979,1427900,2016-05-15,2016-05-15,
40906174,12582,0,1415318,2016-05-15,2016-05-15,Entertainment
40906174,621538,0,793780,2016-05-16,2016-05-16,Bill Sharing
40906174,900803,0,-191854,2016-05-16,2016-05-16,Healthcare
40906174,743226,0,-935080,2016-05-16,2016-05-16,Rent
40906174,468591,0,-1403671,2016-05-17,2016-05-17,Clothes
40906174,17309,0,-1420980,2016-05-18,2016-05-18,Rent
40906174,0,815450,-605530,2016-05-19,2016-05-19,
40906174,0,408611,-196919,2016-05-19,2016-05-19,
40906174,484814,0,-681733,2016-05-20,2016-05-20,Healthcare
40906174,0,490908,-190825,2016-05-20,2016-05-20,
40906174,0,18740,-172085,2016-05-21,2016-05-21,
40906174,0,831173,-659088,2016-05-21,2016-05-21,
40906174,536836,0,-1195924,2016-05-22,2016-05-22,Healthcare
40906174,18592,0,-1214516,2016-05-23,2016-05-23,Utilities
40906174,991976,0,-2206492,2016-05-23,2016-05-23,Rent
40906174,0,12687,-2193805,2016-05-23,2016-05-23,
40906174,18018,0,-2211823,2016-05-24,2016-05-24,Healthcare
40906174,11178,0,-2223001,2016-05-24,2016-05-24,Rent
40906174,0,13265,-2209736,2016-05-24,2016-05-24,
40906174,615319,0,-2825055,2016-05-25,2016-05-25,Rent
40906174,0,818829,-2006226,2016-05-26,2016-05-26,
40906174,0,16538,-1989688,2016-05-27,2016-05-27,
40906174,13779,0,-2003467,2016-05-27,2016-05-27,Education
40906174,0,480457,-1523010,2016-05-28,2016-05-28,
40906174,0,12542,-1510468,2016-05-28,2016-05-28,
40906174,0,528649,-981819,2016-05-29,2016-05-29,
40906174,707255,0,-1689074,2016-05-29,2016-05-29,Utilities
40906174,13857,0,-1702931,2016-05-30,2016-05-30,Rent
40906174,0,10870,-1692061,2016-05-30,2016-05-30,
40906174,645394,0,-2337455,2016-05-30,2016-05-30,Transportation
40906174,909764,0,-3247219,2016-05-31,2016-05-31,Bill Sharing
40906174,877773,0,-4124992,2016-06-01,2016-06-01,Entertainment
40906174,0,414812,-4143001,2016-06-01,2016-06-01,
40906174,0,885525,-4157990,2016-06-02,2016-06-02,
40906174,10479,0,-4168469,2016-06-02,2016-06-02,Healthcare
40906174,0,18994,-4149475,2016-06-03,2016-06-03,
40906174,0,401019,-3748456,2016-06-04,2016-06-04,
40906174,10948,0,-3759404,2016-06-05,2016-06-05,Rent
40906174,0,16590,-3742814,2016-06-05,2016-06-05,
40906174,892426,0,-4635240,2016-06-05,2016-06-05,Clothes
40906174,17979,0,-4653219,2016-06-06,2016-06-06,Entertainment
40906174,0,817357,-3835862,2016-06-06,2016-06-06,
40906174,0,904376,-2931486,2016-06-07,2016-06-07,
40906174,13626,0,-2945112,2016-06-08,2016-06-08,Rent
40906174,704550,0,-3649662,2016-06-09,2016-06-09,Groceries
40906174,16672,0,-3666334,2016-06-09,2016-06-09,Clothes
40906174,19996,0,-3686330,2016-06-10,2016-06-10,Bill Sharing
40906174,755363,0,-4441693,2016-06-10,2016-06-10,Utilities
40906174,0,543928,-3897765,2016-06-11,2016-06-11,
40906174,0,444921,-3452844,2016-06-11,2016-06-11,
40906174,0,568433,-2884411,2016-06-12,2016-06-12,
40906174,581564,0,-3465975,2016-06-13,2016-06-13,Rent
40906174,0,15430,-3450545,2016-06-13,2016-06-13,
40906174,0,668062,-2782483,2016-06-14,2016-06-14,
40906174,0,14816,-2767667,2016-06-14,2016-06-14,
40906174,0,689696,-2077971,2016-06-14,2016-06-14,
40906174,0,636604,-1441367,2016-06-15,2016-06-15,
40906174,693558,0,-2134925,2016-06-15,2016-06-15,Education
40906174,0,15439,-2119486,2016-06-16,2016-06-16,
40906174,0,589886,-1529600,2016-06-16,2016-06-16,
40906174,0,879321,-1518608,2016-06-16,2016-06-16,
40906174,0,963943,-554665,2016-06-17,2016-06-17,
40906174,13893,0,-568558,2016-06-17,2016-06-17,Education
40906174,17280,0,-585838,2016-06-17,2016-06-17,Entertainment
40906174,19528,0,-605366,2016-06-18,2016-06-18,Clothes
40906174,0,906799,-301433,2016-06-18,2016-06-18,
40906174,0,18349,-283084,2016-06-18,2016-06-18,
40906174,0,17091,-265993,2016-06-19,2016-06-19,
40906174,0,883648,-617655,2016-06-19,2016-06-19,
40906174,494853,0,-1112508,2016-06-19,2016-06-19,Groceries
40906174,12455,0,-1124963,2016-06-20,2016-06-20,Clothes
40906174,684168,0,-1809131,2016-06-21,2016-06-21,Healthcare
40906174,0,540392,-1268739,2016-06-21,2016-06-21,
40906174,580911,0,-1849650,2016-06-21,2016-06-21,Entertainment
40906174,0,831849,-1017801,2016-06-22,2016-06-22,
40906174,0,990344,-27457,2016-06-23,2016-06-23,
40906174,0,817486,-790029,2016-06-23,2016-06-23,
40906174,16933,0,-806962,2016-06-24,2016-06-24,Rent
40906174,0,839258,-32296,2016-06-24,2016-06-24,
40906174,705966,0,-487854,2016-06-25,2016-06-25,Education
40906174,0,17105,-470749,2016-06-25,2016-06-25,
40906174,0,790731,-319982,2016-06-25,2016-06-25,
40906174,0,704323,-384341,2016-06-26,2016-06-26,
40906174,0,14749,-369592,2016-06-27,2016-06-27,
40906174,0,18913,-350679,2016-06-27,2016-06-27,
40906174,0,19826,-330853,2016-06-28,2016-06-28,
40906174,0,743790,-412937,2016-06-28,2016-06-28,
40906174,10288,0,-423225,2016-06-29,2016-06-29,Entertainment
40906174,768326,0,-1191551,2016-06-29,2016-06-29,Clothes
40906174,827774,0,-269981,2016-06-29,2016-06-29,Healthcare
40906174,11592,0,-281573,2016-06-30,2016-06-30,Entertainment
40906174,13944,0,-295517,2016-06-30,2016-06-30,Rent
40906174,15766,0,-311283,2016-07-01,2016-07-01,Groceries
40906174,602103,0,-913386,2016-07-02,2016-07-02,Utilities
40906174,897290,0,-1810676,2016-07-03,2016-07-03,Healthcare
40906174,0,15230,-1795446,2016-07-04,2016-07-04,
40906174,804523,0,-2599969,2016-07-04,2016-07-04,Bill Sharing
40906174,559302,0,-3159271,2016-07-04,2016-07-04,Healthcare
40906174,0,501609,-2657662,2016-07-05,2016-07-05,
40906174,618071,0,-3275733,2016-07-06,2016-07-06,Utilities
40906174,616473,0,-3892206,2016-07-07,2016-07-07,Education
40906174,0,889411,-3002795,2016-07-07,2016-07-07,
40906174,574564,0,-3577359,2016-07-08,2016-07-08,Education
40906174,674839,0,-4252198,2016-07-08,2016-07-08,Entertainment
40906174,0,549885,-3702313,2016-07-09,2016-07-09,
40906174,0,525542,-3176771,2016-07-09,2016-07-09,
40906174,0,16482,-3160289,2016-07-09,2016-07-09,
40906174,0,19312,-3140977,2016-07-10,2016-07-10,
40906174,785756,0,-3926733,2016-07-10,2016-07-10,Utilities
40906174,645449,0,-4572182,2016-07-11,2016-07-11,Utilities
40906174,983249,0,-5555431,2016-07-11,2016-07-11,Entertainment
40906174,17363,0,-5572794,2016-07-12,2016-07-12,Bill Sharing
40906174,10461,0,-5583255,2016-07-12,2016-07-12,Rent
40906174,474577,0,-5596216,2016-07-12,2016-07-12,Education
40906174,19293,0,-5615509,2016-07-13,2016-07-13,Entertainment
40906174,18434,0,-5633943,2016-07-13,2016-07-13,Bill Sharing
40906174,981899,0,-6615842,2016-07-14,2016-07-14,Utilities
40906174,509186,0,-7125028,2016-07-14,2016-07-14,Healthcare
40906174,716226,0,-7841254,2016-07-15,2016-07-15,Groceries
40906174,0,452228,-7389026,2016-07-16,2016-07-16,
40906174,0,11233,-7377793,2016-07-17,2016-07-17,
40906174,0,16098,-7361695,2016-07-17,2016-07-17,
40906174,522381,0,-7884076,2016-07-18,2016-07-18,Rent
40906174,949807,0,-8833883,2016-07-19,2016-07-19,Healthcare
40906174,0,828360,-8005523,2016-07-20,2016-07-20,
40906174,706466,0,-8711989,2016-07-20,2016-07-20,Transportation
40906174,12500,0,-8724489,2016-07-20,2016-07-20,Clothes
40906174,0,467444,-8257045,2016-07-21,2016-07-21,
40906174,0,18424,-8238621,2016-07-22,2016-07-22,
40906174,0,463164,-7775457,2016-07-23,2016-07-23,
40906174,806163,0,-8581620,2016-07-23,2016-07-23,Entertainment
40906174,615975,0,-9197595,2016-07-24,2016-07-24,Healthcare
40906174,0,895151,-9654291,2016-07-25,2016-07-25,
40906174,14034,0,-9668325,2016-07-26,2016-07-26,Transportation
40906174,0,549700,-9118625,2016-07-26,2016-07-26,
40906174,0,639682,-8478943,2016-07-27,2016-07-27,
40906174,435255,0,-8914198,2016-07-27,2016-07-27,Clothes
40906174,0,16212,-8897986,2016-07-28,2016-07-28,
40906174,12315,0,-8910301,2016-07-29,2016-07-29,Entertainment
40906174,0,471597,-8438704,2016-07-30,2016-07-30,
40906174,651217,0,-9089921,2016-07-31,2016-07-31,Clothes
40906174,517715,0,-9607636,2016-07-31,2016-07-31,Healthcare
40906174,0,976785,-8630851,2016-08-01,2016-08-01,
40906174,0,19274,-8611577,2016-08-01,2016-08-01,
40906174,520419,0,-9131996,2016-08-02,2016-08-02,Bill Sharing
40906174,0,14451,-9117545,2016-08-02,2016-08-02,
40906174,752162,0,-9869707,2016-08-03,2016-08-03,Education
40906174,650634,0,-10520341,2016-08-03,2016-08-03,Rent
40906174,14367,0,-10534708,2016-08-04,2016-08-04,Groceries
40906174,801333,0,-11336041,2016-08-04,2016-08-04,Clothes
40906174,0,18078,-11317963,2016-08-04,2016-08-04,
40906174,551042,0,-11869005,2016-08-05,2016-08-05,Rent
40906174,15789,0,-11884794,2016-08-05,2016-08-05,Groceries
40906174,19107,0,-11903901,2016-08-05,2016-08-05,Transportation
40906174,15335,0,-11919236,2016-08-06,2016-08-06,Entertainment
40906174,556778,0,-12476014,2016-08-06,2016-08-06,Utilities
40906174,17687,0,-12493701,2016-08-06,2016-08-06,Groceries
40906174,0,908269,-11585432,2016-08-07,2016-08-07,
40906174,0,748166,-10837266,2016-08-07,2016-08-07,
40906174,0,543980,-10293286,2016-08-07,2016-08-07,
40906174,690735,0,-10984021,2016-08-08,2016-08-08,Healthcare
40906174,17211,0,-11001232,2016-08-08,2016-08-08,Groceries
40906174,0,18622,-10982610,2016-08-08,2016-08-08,
40906174,0,11379,-10971231,2016-08-09,2016-08-09,
40906174,11770,0,-10983001,2016-08-09,2016-08-09,Bill Sharing
40906174,0,15002,-10967999,2016-08-09,2016-08-09,
40906174,0,919523,-10048476,2016-08-10,2016-08-10,
40906174,848143,0,-10896619,2016-08-11,2016-08-11,Utilities
40906174,0,420987,-10475632,2016-08-12,2016-08-12,
40906174,0,11682,-10463950,2016-08-12,2016-08-12,
40906174,559335,0,-11023285,2016-08-13,2016-08-13,Clothes
40906174,0,895573,-10127712,2016-08-13,2016-08-13,
40906174,0,881912,-9245800,2016-08-14,2016-08-14,
40906174,766039,0,-10011839,2016-08-15,2016-08-15,Education
40906174,633118,0,-10644957,2016-08-16,2016-08-16,Clothes
40906174,19085,0,-10664042,2016-08-17,2016-08-17,Rent
40906174,0,12098,-10651944,2016-08-17,2016-08-17,
40906174,0,13398,-10638546,2016-08-17,2016-08-17,
40906174,15452,0,-10653998,2016-08-18,2016-08-18,Clothes
40906174,631919,0,-11285917,2016-08-18,2016-08-18,Utilities
40906174,932452,0,-12218369,2016-08-19,2016-08-19,Transportation
40906174,13752,0,-12232121,2016-08-19,2016-08-19,Bill Sharing
40906174,874665,0,-13106786,2016-08-20,2016-08-20,Clothes
40906174,0,538508,-13118752,2016-08-20,2016-08-20,
40906174,0,887990,-12230762,2016-08-20,2016-08-20,
